Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,symmetric,0.01,0.354947284
75% Corpus,3,asymmetric,0.01,0.354947284
75% Corpus,4,0.31,0.01,0.353109407
75% Corpus,4,0.61,0.01,0.353109407
75% Corpus,4,symmetric,0.01,0.353109407
75% Corpus,4,0.01,0.61,0.352554672
75% Corpus,4,0.31,0.61,0.352554672
75% Corpus,4,symmetric,0.61,0.352554672
75% Corpus,4,asymmetric,0.61,0.352554672
75% Corpus,4,0.61,0.61,0.352450917
75% Corpus,3,asymmetric,0.31,0.352372578
75% Corpus,3,asymmetric,0.61,0.352372578
75% Corpus,3,asymmetric,symmetric,0.352372578
100% Corpus,3,asymmetric,0.91,0.346328621
75% Corpus,4,0.01,0.01,0.345763618
75% Corpus,4,asymmetric,0.01,0.345763618
75% Corpus,2,asymmetric,0.01,0.342183151
100% Corpus,3,0.01,0.01,0.341552497
100% Corpus,3,0.01,0.31,0.341552497
100% Corpus,3,0.01,0.61,0.341552497
100% Corpus,3,0.01,0.91,0.341552497
100% Corpus,3,0.01,symmetric,0.341552497
100% Corpus,3,0.31,0.01,0.341552497
100% Corpus,3,0.31,0.31,0.341552497
100% Corpus,3,0.31,0.61,0.341552497
100% Corpus,3,0.31,0.91,0.341552497
100% Corpus,3,0.31,symmetric,0.341552497
100% Corpus,3,0.61,0.01,0.341552497
100% Corpus,3,0.61,0.31,0.341552497
100% Corpus,3,0.61,0.61,0.341552497
100% Corpus,3,0.61,0.91,0.341552497
100% Corpus,3,0.61,symmetric,0.341552497
100% Corpus,3,0.91,0.01,0.341552497
100% Corpus,3,0.91,0.31,0.341552497
100% Corpus,3,0.91,0.61,0.341552497
100% Corpus,3,0.91,0.91,0.341552497
100% Corpus,3,0.91,symmetric,0.341552497
100% Corpus,3,symmetric,0.01,0.341552497
100% Corpus,3,symmetric,0.31,0.341552497
100% Corpus,3,symmetric,0.61,0.341552497
100% Corpus,3,symmetric,0.91,0.341552497
100% Corpus,3,symmetric,symmetric,0.341552497
100% Corpus,3,asymmetric,0.01,0.341552497
100% Corpus,3,asymmetric,0.31,0.341552497
100% Corpus,3,asymmetric,0.61,0.341552497
100% Corpus,3,asymmetric,symmetric,0.341552497
100% Corpus,2,0.01,0.01,0.293816151
100% Corpus,2,0.01,0.31,0.293816151
100% Corpus,2,0.01,0.61,0.293816151
100% Corpus,2,0.01,0.91,0.293816151
100% Corpus,2,0.01,symmetric,0.293816151
100% Corpus,2,0.31,0.01,0.293816151
100% Corpus,2,0.31,0.31,0.293816151
100% Corpus,2,0.31,0.61,0.293816151
100% Corpus,2,0.31,symmetric,0.293816151
100% Corpus,2,0.61,0.01,0.293816151
100% Corpus,2,0.61,0.31,0.293816151
100% Corpus,2,0.61,0.61,0.293816151
100% Corpus,2,0.61,symmetric,0.293816151
100% Corpus,2,0.91,0.01,0.293816151
100% Corpus,2,0.91,0.31,0.293816151
100% Corpus,2,symmetric,0.01,0.293816151
100% Corpus,2,symmetric,0.31,0.293816151
100% Corpus,2,symmetric,0.61,0.293816151
100% Corpus,2,symmetric,symmetric,0.293816151
100% Corpus,2,asymmetric,0.31,0.293816151
100% Corpus,2,0.31,0.91,0.288863953
100% Corpus,2,0.61,0.91,0.288863953
100% Corpus,2,0.91,0.61,0.288863953
100% Corpus,2,0.91,0.91,0.288863953
100% Corpus,2,0.91,symmetric,0.288863953
100% Corpus,2,symmetric,0.91,0.288863953
100% Corpus,2,asymmetric,0.01,0.288863953
100% Corpus,2,asymmetric,0.61,0.288863953
100% Corpus,2,asymmetric,0.91,0.288863953
100% Corpus,2,asymmetric,symmetric,0.288863953
